DATE,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
19082022,CAPACITE,EQ, 19-Aug-2022,141.7,142.05,149.7,142.0, 147.15,147.65,146.11,1342433,1961.43,15385,687393.0,51.21,1004
19082022,CAPLIPOINT,EQ, 19-Aug-2022,796.3,798.0,802.9,767.45, 778.30,779.35,784.32,76684,601.45,7414,37192.0,48.5,291
19082022,CAPTRUST,EQ, 19-Aug-2022,105.95,106.5,107.8,103.1, 105.00,103.85,105.27,10543,11.1,244,8551.0,81.11,9
19082022,CARBORUNIV,EQ, 19-Aug-2022,829.0,832.0,833.3,803.1, 804.00,809.35,819.33,114598,938.94,7793,69071.0,60.27,565
19082022,CAREERP,EQ, 19-Aug-2022,135.05,135.5,143.35,130.0, 134.90,132.3,136.78,237085,324.29,5340,125248.0,52.83,171
19082022,CARERATING,EQ, 19-Aug-2022,503.15,505.7,520.0,495.5, 499.80,503.15,506.09,136458,690.6,6674,71832.0,52.64,363
19082022,CARTRADE,EQ, 19-Aug-2022,628.1,628.1,652.75,613.1, 633.00,633.75,626.53,372778,2335.57,30369,78068.0,20.94,489
19082022,CASTROLIND,EQ, 19-Aug-2022,117.15,117.55,117.8,114.8, 115.00,115.25,115.98,1391033,1613.32,12559,1060304.0,76.22,1229
19082022,CCHHL,EQ, 19-Aug-2022,6.95,7.05,7.05,6.8, 6.85,6.85,6.93,80624,5.59,188,59668.0,74.01,4
19082022,CCL,EQ, 19-Aug-2022,430.55,427.0,429.2,412.1, 416.00,417.65,421.22,207342,873.36,11162,96257.0,46.42,405
19082022,CDSL,EQ, 19-Aug-2022,1237.3,1238.9,1244.2,1197.15, 1210.00,1215.1,1216.18,938122,11409.28,54732,478562.0,51.01,5820
19082022,CEATLTD,EQ, 19-Aug-2022,1371.55,1382.0,1384.25,1367.85, 1370.20,1370.55,1373.9,90953,1249.61,6493,34857.0,38.32,478
19082022,CELEBRITY,EQ, 19-Aug-2022,14.95,15.25,15.25,14.7, 14.80,14.8,14.93,57761,8.63,333,40964.0,70.92,6
19082022,CENTENKA,EQ, 19-Aug-2022,445.55,445.05,453.95,443.2, 447.95,447.65,449.48,54504,244.98,6381,28665.0,52.59,128
19082022,CENTEXT,EQ, 19-Aug-2022,12.65,12.7,14.4,11.8, 12.95,13.0,13.29,4495964,597.57,5540,1791411.0,39.84,238
19082022,CENTRALBK,EQ, 19-Aug-2022,18.4,18.6,18.6,17.85, 17.90,17.9,18.11,2757783,499.35,4131,1294685.0,46.95,234
19082022,CENTRUM,EQ, 19-Aug-2022,27.15,27.5,27.75,26.7, 27.00,27.4,27.34,521627,142.61,1901,307708.0,58.99,84
19082022,CENTUM,EQ, 19-Aug-2022,426.15,432.45,432.45,414.05, 419.00,418.85,421.42,6797,28.64,480,5286.0,77.77,22
19082022,CENTURYPLY,EQ, 19-Aug-2022,661.3,651.7,669.55,650.0, 664.75,663.85,661.64,200574,1327.08,12642,72661.0,36.23,480
19082022,CENTURYTEX,EQ, 19-Aug-2022,868.35,868.35,882.6,840.0, 848.05,845.95,864.03,260706,2252.59,13493,75549.0,28.98,652
19082022,CERA,EQ, 19-Aug-2022,4890.5,4927.0,4932.65,4817.7, 4887.00,4854.05,4871.68,4590,223.61,1950,1547.0,33.7,75
19082022,CEREBRAINT,EQ, 19-Aug-2022,50.2,50.75,52.7,49.4, 51.95,51.65,51.6,330043,170.3,2904,176393.0,53.45,91
19082022,CESC,EQ, 19-Aug-2022,80.1,80.6,80.65,79.15, 79.35,79.4,79.87,1279933,1022.31,14942,671068.0,52.43,535
19082022,CGCL,EQ, 19-Aug-2022,679.25,680.0,682.65,669.2, 675.00,675.4,676.54,22308,150.92,3499,13484.0,60.44,91
19082022,CGPOWER,EQ, 19-Aug-2022,239.55,240.4,240.5,233.05, 234.95,235.3,236.62,1537138,3637.23,20211,1001807.0,65.17,2370
19082022,CHALET,EQ, 19-Aug-2022,347.9,349.0,349.8,336.0, 336.75,336.95,340.25,175787,598.11,5845,70008.0,39.83,238
19082022,CHAMBLFERT,EQ, 19-Aug-2022,342.5,339.95,343.8,335.0, 337.30,338.95,339.16,2316853,7857.92,34074,1025977.0,44.28,3479
19082022,CHEMBOND,EQ, 19-Aug-2022,187.05,189.4,189.4,181.0, 181.00,181.6,183.49,12546,23.02,664,7904.0,63.0,14
19082022,CHEMCON,EQ, 19-Aug-2022,402.6,404.9,414.75,394.0, 398.10,400.55,403.98,227105,917.46,11659,81705.0,35.98,330
19082022,CHEMFAB,EQ, 19-Aug-2022,243.05,245.95,245.95,234.1, 243.00,244.05,240.82,38438,92.57,1057,23077.0,60.04,55
